timestamp,open,high,low,close,volume
2019-07-01 00:00:00,292.89000000,303.49000000,289.61000000,295.47000000,142871.90362000
2019-07-01 08:00:00,295.48000000,300.24000000,281.02000000,285.86000000,215108.96910000
2019-07-01 16:00:00,285.82000000,297.44000000,280.13000000,295.07000000,131788.40149000
2019-07-02 00:00:00,295.03000000,297.57000000,272.65000000,277.44000000,182313.49478000
2019-07-02 08:00:00,277.39000000,290.60000000,273.20000000,290.02000000,204070.30096000
2019-07-02 16:00:00,290.04000000,293.88000000,284.28000000,291.48000000,107389.17005000
2019-07-03 00:00:00,291.47000000,299.33000000,285.00000000,293.73000000,158148.91351000
2019-07-03 08:00:00,293.76000000,295.00000000,289.61000000,294.60000000,100008.59964000
2019-07-03 16:00:00,294.60000000,302.89000000,289.00000000,301.14000000,112364.45322000
2019-07-04 00:00:00,301.11000000,302.74000000,291.77000000,293.85000000,101035.09883000
2019-07-04 08:00:00,293.81000000,296.00000000,290.65000000,293.02000000,92143.58653000
2019-07-04 16:00:00,293.03000000,295.47000000,280.53000000,282.73000000,77612.68342000
2019-07-05 00:00:00,282.86000000,288.30000000,280.78000000,285.84000000,95900.78284000
2019-07-05 08:00:00,285.75000000,294.89000000,283.33000000,288.39000000,112637.82336000
2019-07-05 16:00:00,288.56000000,291.86000000,284.40000000,287.47000000,52600.67721000
2019-07-06 00:00:00,287.32000000,293.55000000,286.72000000,291.76000000,63845.88586000
2019-07-06 08:00:00,291.86000000,296.15000000,287.57000000,294.89000000,76866.90321000
2019-07-06 16:00:00,294.90000000,296.71000000,285.28000000,288.29000000,55351.85798000
2019-07-07 00:00:00,288.29000000,290.00000000,284.25000000,287.96000000,41462.89472000
2019-07-07 08:00:00,287.95000000,295.71000000,286.56000000,291.27000000,72440.07908000
2019-07-07 16:00:00,291.31000000,309.69000000,289.65000000,304.72000000,132208.39215000
2019-07-08 00:00:00,304.72000000,308.30000000,300.78000000,306.99000000,64012.45534000
2019-07-08 08:00:00,306.95000000,309.65000000,303.88000000,307.74000000,120128.20808000
2019-07-08 16:00:00,307.86000000,313.74000000,304.17000000,311.97000000,105466.67835000
